date,description,amount
2025-05-01,Hulu*HULU,-17.99
2025-05-01,GEICO AUTO PAY,-132.40
2025-05-02,APPLE.COM/BILL,-1.91
2025-05-03,AMAZON.COM*MK4LJ,-83.88
2025-05-04,UBER TRIP,-24.98
2025-05-05,APPLE.COM/BILL,-5.82
2025-05-05,UBER TRIP,-10.04
2025-05-06,APPLE.COM/BILL iCloud+,-2.99
2025-05-06,DOORDASH*RAMEN,-20.64
2025-05-07,CANVA* MONTHLY,-12.99
2025-05-07,AIRBNB * HMQRX,-242.81
2025-05-07,STARBUCKS #4421,-8.75
2025-05-11,NETFLIX.COM,-22.99
2025-05-11,AUDIBLE*MEMBERSHIP,-14.95
2025-05-12,CVS/PHARMACY,-13.18
2025-05-13,CHIPOTLE 0987,-12.55
2025-05-14,NYTimes*All Access,-17.00
2025-05-15,ACME CORP PAYROLL,3800.41
2025-05-16,DOORDASH*RAMEN,-29.61
2025-05-20,TARGET T-1198,-18.19
2025-05-20,TARGET T-1198,-60.52
2025-05-21,SPOTIFY USA,-11.99
2025-05-21,DOORDASH*RAMEN,-27.61
2025-05-21,WHOLE FOODS MARKET,-46.72
2025-05-22,Adobe Creative Cloud,-54.99
2025-05-23,AIRBNB * HMQRX,-152.29
2025-05-24,TARGET T-1198,-48.09
2025-05-25,Planet Fitness Black,-24.99
2025-05-26,LYFT *RIDE,-16.51
2025-05-27,VERIZON WIRELESS,-85.00
2025-06-01,GEICO AUTO PAY,-132.40
2025-06-01,HOME DEPOT #6710,-126.62
2025-06-02,Hulu*HULU,-17.99
2025-06-03,TARGET T-1198,-42.56
2025-06-06,CANVA* MONTHLY,-12.99
2025-06-06,APPLE.COM/BILL iCloud+,-2.99
2025-06-06,TARGET T-1198,-59.46
2025-06-07,SHELL OIL 12345,-54.24
2025-06-08,DELTA AIR LINES,-239.98
2025-06-10,AUDIBLE*MEMBERSHIP,-14.95
2025-06-11,NETFLIX.COM,-22.99
2025-06-11,CVS/PHARMACY,-37.19
2025-06-12,DOORDASH*RAMEN,-35.54
2025-06-12,TRADER JOE'S #112,-87.08
2025-06-14,NYTimes*All Access,-17.00
2025-06-15,ACME CORP PAYROLL,3841.89
2025-06-15,TARGET T-1198,-116.07
2025-06-18,AMAZON.COM*MK4LJ,-51.53
2025-06-21,SPOTIFY USA,-11.99
2025-06-21,SHELL OIL 12345,-60.22
2025-06-22,Adobe Creative Cloud,-54.99
2025-06-24,VERIZON WIRELESS,-85.00
2025-06-25,Planet Fitness Black,-24.99
2025-06-26,APPLE.COM/BILL,-8.09
2025-06-26,STARBUCKS #4421,-5.40
2025-06-27,AMAZON.COM*MK4LJ,-41.25
2025-06-28,TRADER JOE'S #112,-41.97
2025-06-28,DELTA AIR LINES,-238.54
2025-07-01,GEICO AUTO PAY,-132.40
2025-07-02,Hulu*HULU,-17.99
2025-07-03,LYFT *RIDE,-21.19
2025-07-03,TARGET T-1198,-115.10
2025-07-03,TRADER JOE'S #112,-72.11
