date,description,amount
2025-05-01,Hulu*HULU,-17.99
2025-05-01,GEICO AUTO PAY,-132.40
2025-05-06,APPLE.COM/BILL iCloud+,-2.99
2025-05-07,CANVA* MONTHLY,-12.99
2025-05-11,NETFLIX.COM,-22.99
2025-05-14,NYTimes*All Access,-17.00
2025-05-21,SPOTIFY USA,-11.99
2025-05-22,Adobe Creative Cloud,-54.99
2025-05-25,Planet Fitness Black,-24.99
2025-05-27,VERIZON WIRELESS,-85.00
2025-06-01,GEICO AUTO PAY,-132.40
2025-06-02,Hulu*HULU,-17.99
2025-06-06,CANVA* MONTHLY,-12.99
2025-06-06,APPLE.COM/BILL iCloud+,-2.99
2025-06-11,NETFLIX.COM,-22.99
2025-06-14,NYTimes*All Access,-17.00
2025-06-21,SPOTIFY USA,-11.99
2025-06-22,Adobe Creative Cloud,-54.99
2025-06-24,VERIZON WIRELESS,-85.00
2025-06-25,Planet Fitness Black,-24.99
2025-07-01,GEICO AUTO PAY,-132.40
2025-07-02,Hulu*HULU,-17.99
2025-07-06,APPLE.COM/BILL iCloud+,-2.99
2025-07-08,CANVA* MONTHLY,-12.99
2025-07-11,NETFLIX.COM,-22.99
2025-07-15,NYTimes*All Access,-17.00
2025-07-21,SPOTIFY USA,-11.99
2025-07-21,Adobe Creative Cloud,-54.99
2025-07-24,Planet Fitness Black,-24.99
2025-07-27,VERIZON WIRELESS,-85.00
2025-08-01,Hulu*HULU,-17.99
2025-08-03,GEICO AUTO PAY,-132.40
2025-08-04,CHATGPT PLUS,-20.00
2025-08-06,APPLE.COM/BILL iCloud+,-2.99
2025-08-08,CANVA* MONTHLY,-12.99
2025-08-11,NETFLIX.COM,-22.99
2025-08-14,NYTimes*All Access,-17.00
2025-08-20,Adobe Creative Cloud,-54.99
2025-08-21,SPOTIFY USA,-11.99
2025-08-24,Planet Fitness Black,-24.99
2025-08-24,VERIZON WIRELESS,-85.00
2025-08-31,GEICO AUTO PAY,-132.40
2025-09-01,Hulu*HULU,-17.99
2025-09-06,CANVA* MONTHLY,-12.99
2025-09-06,APPLE.COM/BILL iCloud+,-2.99
2025-09-06,CHATGPT PLUS,-20.00
2025-09-11,NETFLIX.COM,-22.99
2025-09-14,NYTimes*All Access,-17.00
2025-09-21,SPOTIFY USA,-11.99
2025-09-22,Adobe Creative Cloud,-54.99
2025-09-26,Planet Fitness Black,-24.99
2025-09-26,VERIZON WIRELESS,-85.00
2025-10-01,Hulu*HULU,-17.99
2025-10-03,GEICO AUTO PAY,-132.40
2025-10-04,CHATGPT PLUS,-20.00
2025-10-06,APPLE.COM/BILL iCloud+,-2.99
2025-10-08,CANVA* MONTHLY,-12.99
2025-10-11,NETFLIX.COM,-22.99
2025-10-14,NYTimes*All Access,-17.00
2025-10-21,SPOTIFY USA,-11.99
2025-10-21,Adobe Creative Cloud,-54.99
2025-10-25,Planet Fitness Black,-24.99
2025-10-28,VERIZON WIRELESS,-85.00
2025-11-03,Hulu*HULU,-17.99
